"year","state","state_po","office","candidate","party","candidatevotes","totalvotes","pctfor","lean","enaction"
1976,"Colorado","CO","US President","Carter, Jimmy","democrat",460801,1081440,0.426099459979287,0.114178317798491,2019
1976,"Colorado","CO","US President","Ford, Gerald","republican",584278,1081440,0.540277777777778,0.114178317798491,2019
1976,"Connecticut","CT","US President","Carter, Jimmy","democrat",647895,1386355,0.467337009640388,0.0514774354332044,2008
1976,"Connecticut","CT","US President","Ford, Gerald","republican",719261,1386355,0.518814445073592,0.0514774354332044,2008
1976,"Delaware","DE","US President","Carter, Jimmy","democrat",122461,235642,0.519690887023536,-0.0538146849882449,2010
1976,"Delaware","DE","US President","Ford, Gerald","republican",109780,235642,0.465876202035291,-0.0538146849882449,2010
1976,"District of Columbia","DC","US President","Carter, Jimmy","democrat",137818,168830,0.816312266777232,-0.651217200734467,2009
1976,"District of Columbia","DC","US President","Ford, Gerald","republican",27873,168830,0.165095066042765,-0.651217200734467,2009
1976,"Illinois","IL","US President","Carter, Jimmy","democrat",2271295,4721282,0.481075902689142,0.0196925326637977,2013
1976,"Illinois","IL","US President","Ford, Gerald","republican",2364269,4721282,0.50076843535294,0.0196925326637977,2013
1976,"Indiana","IN","US President","Carter, Jimmy","democrat",1014714,2220362,0.457003857929473,0.0762236067812366,1995
1976,"Indiana","IN","US President","Ford, Gerald","republican",1183958,2220362,0.533227464710709,0.0762236067812366,1995
1976,"Kentucky","KY","US President","Carter, Jimmy","democrat",615717,1167142,0.527542492687265,-0.0718550099302399,2010
1976,"Kentucky","KY","US President","Ford, Gerald","republican",531852,1167142,0.455687482757025,-0.0718550099302399,2010
1976,"Maine","ME","US President","Carter, Jimmy","democrat",232279,482968,0.480940766261947,0.00836701396365802,2004
1976,"Maine","ME","US President","Ford, Gerald","republican",236320,482968,0.489307780225605,0.00836701396365802,2004
1976,"Maryland","MD","US President","Carter, Jimmy","democrat",759612,1432273,0.530354199234364,-0.0607083984687277,2010
1976,"Maryland","MD","US President","Ford, Gerald","republican",672661,1432273,0.469645800765636,-0.0607083984687277,2010
1976,"Mississippi","MS","US President","Carter, Jimmy","democrat",381329,768390,0.496270123244706,-0.0188485014120434,1997
1976,"Mississippi","MS","US President","Ford, Gerald","republican",366846,768390,0.477421621832663,-0.0188485014120434,1997
1976,"Nebraska","NE","US President","Carter, Jimmy","democrat",233293,606749,0.384496719401268,0.207542163233891,1994
1976,"Nebraska","NE","US President","Ford, Gerald","republican",359219,606749,0.592038882635159,0.207542163233891,1994
1976,"New Mexico","NM","US President","Carter, Jimmy","democrat",201148,416590,0.482844043303968,0.0246549365083175,2016
1976,"New Mexico","NM","US President","Ford, Gerald","republican",211419,416590,0.507498979812285,0.0246549365083175,2016
1976,"North Carolina","NC","US President","Carter, Jimmy","democrat",927365,1677906,0.552691867124857,-0.110497846720853,2016
1976,"North Carolina","NC","US President","Ford, Gerald","republican",741960,1677906,0.442194020404004,-0.110497846720853,2016
1976,"Ohio","OH","US President","Carter, Jimmy","democrat",2009959,4110456,0.488986866663942,-0.00227055100456008,1981
1976,"Ohio","OH","US President","Ford, Gerald","republican",2000626,4110456,0.486716315659382,-0.00227055100456008,1981
1976,"South Carolina","SC","US President","Carter, Jimmy","democrat",450807,802583,0.561695176698236,-0.130401466265794,1997
1976,"South Carolina","SC","US President","Ford, Gerald","republican",346149,802583,0.431293710432441,-0.130401466265794,1997
1976,"Utah","UT","US President","Carter, Jimmy","democrat",182110,541218,0.336481787375882,0.287865518146107,2018
1976,"Utah","UT","US President","Ford, Gerald","republican",337908,541218,0.624347305521989,0.287865518146107,2018
1976,"Vermont","VT","US President","Carter, Jimmy","democrat",77798,183902,0.423040532457505,0.122831725592979,2010
1976,"Vermont","VT","US President","Ford, Gerald","republican",100387,183902,0.545872258050483,0.122831725592979,2010
1976,"Virginia","VA","US President","Carter, Jimmy","democrat",813896,1697094,0.479582156321335,0.0133510577493056,2004
1976,"Virginia","VA","US President","Ford, Gerald","republican",836554,1697094,0.492933214070641,0.0133510577493056,2004
1976,"West Virginia","WV","US President","Carter, Jimmy","democrat",435864,750590,0.580695186453323,-0.161390372906647,2013
1976,"West Virginia","WV","US President","Ford, Gerald","republican",314726,750590,0.419304813546677,-0.161390372906647,2013
1980,"Colorado","CO","US President","Carter, Jimmy","democrat",368009,1184450,0.31070032504538,0.239989024441724,2019
1980,"Colorado","CO","US President","Reagan, Ronald","republican",652264,1184450,0.550689349487104,0.239989024441724,2019
1980,"Connecticut","CT","US President","Carter, Jimmy","democrat",541732,1406285,0.385222056695478,0.0963375133774448,2008
1980,"Connecticut","CT","US President","Reagan, Ronald","republican",677210,1406285,0.481559570072923,0.0963375133774448,2008
1980,"Delaware","DE","US President","Carter, Jimmy","democrat",105754,235668,0.44874144983621,0.0233294295364666,2010
1980,"Delaware","DE","US President","Reagan, Ronald","republican",111252,235668,0.472070879372677,0.0233294295364666,2010
1980,"District of Columbia","DC","US President","Carter, Jimmy","democrat",130231,173889,0.748931789819943,-0.61486350487955,2009
1980,"District of Columbia","DC","US President","Reagan, Ronald","republican",23313,173889,0.134068284940393,-0.61486350487955,2009
1980,"Illinois","IL","US President","Carter, Jimmy","democrat",1981413,4749721,0.417164081848176,0.0792964470965768,2013
1980,"Illinois","IL","US President","Reagan, Ronald","republican",2358049,4749721,0.496460528944753,0.0792964470965768,2013
1980,"Indiana","IN","US President","Carter, Jimmy","democrat",844197,2242033,0.376531924373995,0.183520492338873,1995
1980,"Indiana","IN","US President","Reagan, Ronald","republican",1255656,2242033,0.560052416712867,0.183520492338873,1995
1980,"Kentucky","KY","US President","Carter, Jimmy","democrat",617417,1295627,0.476539158260827,0.0137825161099607,2010
1980,"Kentucky","KY","US President","Reagan, Ronald","republican",635274,1295627,0.490321674370787,0.0137825161099607,2010
1980,"Maine","ME","US President","Carter, Jimmy","democrat",220974,523011,0.422503541990513,0.0335518755819667,2004
1980,"Maine","ME","US President","Reagan, Ronald","republican",238522,523011,0.456055417572479,0.0335518755819667,2004
1980,"Maryland","MD","US President","Carter, Jimmy","democrat",726161,1540496,0.471381295374996,-0.0295716444573696,2010
1980,"Maryland","MD","US President","Reagan, Ronald","republican",680606,1540496,0.441809650917627,-0.0295716444573696,2010
1980,"Mississippi","MS","US President","Carter, Jimmy","democrat",429281,891750,0.481391645640594,0.0132413793103448,1997
1980,"Mississippi","MS","US President","Reagan, Ronald","republican",441089,891750,0.494633024950939,0.0132413793103448,1997
1980,"Nebraska","NE","US President","Carter, Jimmy","democrat",166424,639533,0.260227384669751,0.395272800621704,1994
1980,"Nebraska","NE","US President","Reagan, Ronald","republican",419214,639533,0.655500185291455,0.395272800621704,1994
1980,"New Mexico","NM","US President","Carter, Jimmy","democrat",167826,456237,0.367848289375916,0.181819975144497,2016
1980,"New Mexico","NM","US President","Reagan, Ronald","republican",250779,456237,0.549668264520414,0.181819975144497,2016
1980,"North Carolina","NC","US President","Carter, Jimmy","democrat",875635,1855833,0.471828553539031,0.0212211982435919,2016
1980,"North Carolina","NC","US President","Reagan, Ronald","republican",915018,1855833,0.493049751782623,0.0212211982435919,2016
1980,"Ohio","OH","US President","Carter, Jimmy","democrat",1752414,4283603,0.409098135378092,0.10601612707807,1981
1980,"Ohio","OH","US President","Reagan, Ronald","republican",2206545,4283603,0.515114262456161,0.10601612707807,1981
1980,"South Carolina","SC","US President","Carter, Jimmy","democrat",428220,888258,0.482089663138413,0.0124479599395671,1997
1980,"South Carolina","SC","US President","Reagan, Ronald","republican",439277,888258,0.49453762307798,0.0124479599395671,1997
1980,"Utah","UT","US President","Carter, Jimmy","democrat",124266,604152,0.20568664839312,0.522088812087024,2018
1980,"Utah","UT","US President","Reagan, Ronald","republican",439687,604152,0.727775460480144,0.522088812087024,2018
1980,"Vermont","VT","US President","Carter, Jimmy","democrat",81952,213299,0.384211834092049,0.0594283142443237,2010
1980,"Vermont","VT","US President","Reagan, Ronald","republican",94628,213299,0.443640148336373,0.0594283142443237,2010
1980,"Virginia","VA","US President","Carter, Jimmy","democrat",752174,1866032,0.40308740686119,0.127240583226869,2004
1980,"Virginia","VA","US President","Reagan, Ronald","republican",989609,1866032,0.530327990088059,0.127240583226869,2004
1980,"West Virginia","WV","US President","Carter, Jimmy","democrat",367462,737715,0.498108348074799,-0.0450797394657829,2013
1980,"West Virginia","WV","US President","Reagan, Ronald","republican",334206,737715,0.453028608609016,-0.0450797394657829,2013
1984,"Colorado","CO","US President","Mondale, Walter","democrat",454975,1295380,0.351228983001127,0.283192576695641,2019
1984,"Colorado","CO","US President","Reagan, Ronald","republican",821817,1295380,0.634421559696769,0.283192576695641,2019
1984,"Connecticut","CT","US President","Mondale, Walter","democrat",569597,1466900,0.388299815938373,0.219019701411139,2008
1984,"Connecticut","CT","US President","Reagan, Ronald","republican",890877,1466900,0.607319517349513,0.219019701411139,2008
1984,"Delaware","DE","US President","Mondale, Walter","democrat",101656,254572,0.399321213644863,0.198505727259871,2010
1984,"Delaware","DE","US President","Reagan, Ronald","republican",152190,254572,0.597826940904734,0.198505727259871,2010
1984,"District of Columbia","DC","US President","Mondale, Walter","democrat",180408,211288,0.853848775131574,-0.716552762106698,2009
1984,"District of Columbia","DC","US President","Reagan, Ronald","republican",29009,211288,0.137296013024876,-0.716552762106698,2009
1984,"Illinois","IL","US President","Mondale, Walter","democrat",2086499,4819088,0.432965532067478,0.128780383342242,2013
1984,"Illinois","IL","US President","Reagan, Ronald","republican",2707103,4819088,0.561745915409721,0.128780383342242,2013
1984,"Indiana","IN","US President","Mondale, Walter","democrat",841481,2233069,0.37682713789856,0.239916007969302,1995
1984,"Indiana","IN","US President","Reagan, Ronald","republican",1377230,2233069,0.616743145867862,0.239916007969302,1995
1984,"Kentucky","KY","US President","Mondale, Walter","democrat",539539,1369345,0.394012465813948,0.206056910420676,2010
1984,"Kentucky","KY","US President","Reagan, Ronald","republican",821702,1369345,0.600069376234623,0.206056910420676,2010
1984,"Maine","ME","US President","Mondale, Walter","democrat",214515,553144,0.387810407416514,0.220530277830004,2004
1984,"Maine","ME","US President","Reagan, Ronald","republican",336500,553144,0.608340685246518,0.220530277830004,2004
1984,"Maryland","MD","US President","Mondale, Walter","democrat",787935,1675873,0.470163908601666,0.0548866173033398,2010
1984,"Maryland","MD","US President","Reagan, Ronald","republican",879918,1675873,0.525050525905006,0.0548866173033398,2010
1984,"Mississippi","MS","US President","Mondale, Walter","democrat",352192,941104,0.374232815926826,0.244590395960489,1997
1984,"Mississippi","MS","US President","Reagan, Ronald","republican",582377,941104,0.618823211887315,0.244590395960489,1997
1984,"Nebraska","NE","US President","Mondale, Walter","democrat",187866,652090,0.288098268643899,0.417408639911669,1994
1984,"Nebraska","NE","US President","Reagan, Ronald","republican",460054,652090,0.705506908555568,0.417408639911669,1994
1984,"New Mexico","NM","US President","Mondale, Walter","democrat",201769,514370,0.392264323347007,0.204778661274958,2016
1984,"New Mexico","NM","US President","Reagan, Ronald","republican",307101,514370,0.597042984621965,0.204778661274958,2016
1984,"North Carolina","NC","US President","Mondale, Walter","democrat",824287,2175361,0.378919636786722,0.240049352728122,2016
1984,"North Carolina","NC","US President","Reagan, Ronald","republican",1346481,2175361,0.618968989514844,0.240049352728122,2016
1984,"Ohio","OH","US President","Mondale, Walter","democrat",1825440,4563235,0.400031994845762,0.18695486864034,1981
1984,"Ohio","OH","US President","Reagan, Ronald","republican",2678559,4563235,0.586986863486101,0.18695486864034,1981
1984,"South Carolina","SC","US President","Mondale, Walter","democrat",344459,968529,0.355651715126754,0.279888366791289,1997
1984,"South Carolina","SC","US President","Reagan, Ronald","republican",615539,968529,0.635540081918043,0.279888366791289,1997
1984,"Utah","UT","US President","Mondale, Walter","democrat",155369,629656,0.246752194849251,0.498265719694563,2018
1984,"Utah","UT","US President","Reagan, Ronald","republican",469105,629656,0.745017914543814,0.498265719694563,2018
1984,"Vermont","VT","US President","Mondale, Walter","democrat",95730,234561,0.408124112704158,0.171106876249675,2010
1984,"Vermont","VT","US President","Reagan, Ronald","republican",135865,234561,0.579230988953833,0.171106876249675,2010
1984,"Virginia","VA","US President","Mondale, Walter","democrat",796250,2146635,0.370929384827882,0.251942225855816,2004
1984,"Virginia","VA","US President","Reagan, Ronald","republican",1337078,2146635,0.622871610683698,0.251942225855816,2004
1984,"West Virginia","WV","US President","Mondale, Walter","democrat",328125,735742,0.445978345670085,0.105142835396104,2013
1984,"West Virginia","WV","US President","Reagan, Ronald","republican",405483,735742,0.551121181066189,0.105142835396104,2013
1988,"Colorado","CO","US President","Dukakis, Michael","democrat",621453,1372394,0.452824043241227,0.0777648401260863,2019
